cisp,regiao,munic,roubo_veiculo,flag
17,Capital,Rio de Janeiro,7750,Maiores
20,Capital,Rio de Janeiro,9133,Maiores
21,Capital,Rio de Janeiro,19818,Maiores
22,Capital,Rio de Janeiro,15200,Maiores
23,Capital,Rio de Janeiro,10803,Maiores
24,Capital,Rio de Janeiro,12146,Maiores
25,Capital,Rio de Janeiro,11085,Maiores
26,Capital,Rio de Janeiro,7867,Maiores
27,Capital,Rio de Janeiro,27970,Maiores
28,Capital,Rio de Janeiro,11069,Maiores
29,Capital,Rio de Janeiro,16978,Maiores
30,Capital,Rio de Janeiro,12880,Maiores
31,Capital,Rio de Janeiro,15147,Maiores
32,Capital,Rio de Janeiro,8743,Maiores
33,Capital,Rio de Janeiro,18097,Maiores
34,Capital,Rio de Janeiro,27585,Maiores
35,Capital,Rio de Janeiro,19467,Maiores
37,Capital,Rio de Janeiro,7376,Maiores
38,Capital,Rio de Janeiro,20066,Maiores
39,Capital,Rio de Janeiro,29756,Maiores
40,Capital,Rio de Janeiro,19456,Maiores
44,Capital,Rio de Janeiro,14941,Maiores
52,Baixada Fluminense,Nova Iguaçu,15684,Maiores
53,Baixada Fluminense,Mesquita,8580,Maiores
54,Baixada Fluminense,Belford Roxo,25035,Maiores
56,Baixada Fluminense,Nova Iguaçu,12049,Maiores
57,Baixada Fluminense,Nilópolis,12520,Maiores
58,Baixada Fluminense,Nova Iguaçu,16411,Maiores
59,Baixada Fluminense,Duque de Caxias,37843,Maiores
60,Baixada Fluminense,Duque de Caxias,20763,Maiores
62,Baixada Fluminense,Duque de Caxias,9319,Maiores
64,Baixada Fluminense,São João de Meriti,32895,Maiores
72,Grande Niterói,São Gonçalo,14227,Maiores
73,Grande Niterói,São Gonçalo,14009,Maiores
74,Grande Niterói,São Gonçalo,18435,Maiores
75,Grande Niterói,São Gonçalo,10181,Maiores
78,Grande Niterói,Niterói,8576,Maiores
11,Capital,Rio de Janeiro,18,Menores
45,Capital,Rio de Janeiro,27,Menores
91,Interior,Valença,49,Menores
92,Interior,Rio das Flores,8,Menores
94,Interior,Piraí;Pinheiral,53,Menores
95,Interior,Vassouras,92,Menores
96,Interior,Miguel Pereira;Paty dos Alferes,43,Menores
97,Interior,Mendes,23,Menores
98,Interior,Engenheiro Paulo de Frontin,17,Menores
100,Interior,Porto Real;Quatis,87,Menores
101,Interior,Pinheiral,44,Menores
104,Interior,São José do Vale do Rio Preto,20,Menores
107,Interior,Paraíba do Sul,68,Menores
111,Interior,Sumidouro,39,Menores
112,Interior,Carmo,48,Menores
132,Interior,Arraial do Cabo,60,Menores
135,Interior,Itaocara,24,Menores
136,Interior,Santo Antônio de Pádua;Aperibé,66,Menores
137,Interior,Miracema,6,Menores
138,Interior,Laje do Muriaé,2,Menores
139,Interior,Porciúncula,7,Menores
140,Interior,Natividade;Varre-Sai,8,Menores
141,Interior,São Fidélis,80,Menores
142,Interior,Cambuci,9,Menores
143,Interior,Itaperuna;São José de Ubá,66,Menores
143,Interior,Itaperuna;São José de Ubá;Cardoso Moreira;Italva,25,Menores
144,Interior,Bom Jesus de Itabapoana,20,Menores
146,Interior,Campos dos Goytacazes;São Francisco de Itabapoana,31,Menores
148,Interior,Cardoso Moreira;Italva,27,Menores
152,Interior,Duas Barras,13,Menores
153,Interior,Cantagalo,58,Menores
154,Interior,Cordeiro;Macuco,21,Menores
155,Interior,São Sebastião do Alto,29,Menores
156,Interior,Santa Maria Madalena,47,Menores
157,Interior,Trajano de Morais,21,Menores
158,Interior,Bom Jardim,21,Menores
168,Interior,Rio Claro,65,Menores
